filename,filepath,title,artist,album,album_artist,genre,date,duration_seconds,bpm,beaTunes_tempo_COLOR,beaTunes_SPECTRUM,beaTunes_COLOR,beaTunes_tempo_timbre_COLOR,MOOD_DANCEABILITY,Tuning,has_lyrics,lyrics_text
01 Ególatra.mp3,E:\iTunes\iTunes Media\Music\4x3\Ególatra - Single\01 Ególatra.mp3,Ególatra,4x3,Ególatra - Single,4x3,Pop,2021-05-03,182.1,124,a2636f,43.26378;97.05118;34.299213;24.555119;23.77559;28.062992;26.503939;20.657482;24.944883;18.708662;35.85827;42.874016;36.24803;34.299213;35.85827;51.83858;61.582676;99.0;72.49606;78.342514;69.767715;51.059055;38.97638;0.0;,f2734a,515354,37,2,No,
01 Sé Quién Soy.mp3,E:\iTunes\iTunes Media\Music\4x3\Sé Quién Soy - Single\01 Sé Quién Soy.mp3,Sé Quién Soy,4x3,Sé Quién Soy - Single,4x3,Hip-Hop/Rap,2024-01-15,205.61,80,1c1e0d,99.0;77.95276;81.85039;45.602364;51.83858;61.192913;60.413383;42.484253;48.330708;55.73622;40.925198;52.61811;60.413383;76.78346;55.73622;58.854332;65.87008;79.90157;66.649605;87.30708;90.81496;76.78346;42.874016;0.0;,f75575,b1806b,32,-1,No,
01 Lovers.mp3,E:\iTunes\iTunes Media\Music\7!!\Lovers\01 Lovers.mp3,Lovers,7!!,Lovers,7!!,Anime,2011,222.07,164,030504,91.59448;75.614174;76.78346;42.09449;43.65354;36.637794;34.688976;83.40945;44.822834;48.330708;38.97638;50.669292;64.31102;80.6811;37.027557;56.515747;99.0;85.74803;91.98425;79.51181;62.362206;81.07086;37.807087;0.0;,ef4961,967a6c,20,2,Sí,"kimi wa ima namida nagashita nakija kuru kodomo no younitatoe asu ga mienaku natte mo mamoru yonatsu no sora miagete nirandatsuyogatte bakari de namida wa misenaihontou wa kowai kuse nitaisetsu na mono wo ushina wa nu younihisshi de hashiri nukete kitaitsu datte nagai yoru wo futari de nori koetekono mama issho ni irukara tsuyo gatte naide iindayokimi wa ima namida nagashita nakija kuru kodomo no younitatoe asu ga mienaku natte mo susumu yonatsu no sora miagete sakendadare ka ga tsubuyaita kotoba no wana niodoru you ni madowasa retetaisetsuna mono wa kokoro no naka niwaka teta kiminanonishinjiru koto ga kowa kute namida o wasuretakaze ga senaka o oshita futarinara kitto yukeru yokimi no te o tsuyoku nigittafushiginaru kodomo no you nitatoe toki ga ima wo ubatte mo susumu yonatsu no sora mezashite hashittanatsu no sora mezashite hashittakon'nanimo hiroi sekai dehitori ni natte yuku nodarouafure-souna omoi uketomete ageru yokimi wa ima namida nagashita nakijakuru kodomo no younitatoe asu ga mienaku natte mo mamoru yonatsu no sora miagete sakendanatsu no sora miagete niranda"
03 Lovers (Instrumental).mp3,E:\iTunes\iTunes Media\Music\7!!\Lovers\03 Lovers (Instrumental).mp3,Lovers (Instrumental),7!!,Lovers,7!!,Anime,2011,221.26,82,2c2d1f,99.0;81.46063;70.54724;31.570868;26.893702;24.165356;19.098427;23.385828;24.165356;29.232285;31.181103;34.299213;45.602364;70.54724;35.078743;48.720474;85.35826;77.173225;84.968506;73.66535;50.669292;50.279526;25.724411;0.0;,ee7740,a9b2ad,20,2,No,
02 Primitive Power.mp3,E:\iTunes\iTunes Media\Music\7!!\Lovers\02 Primitive Power.mp3,Primitive Power,7!!,Lovers,7!!,Anime,2011,218.52,139,99899c,96.27165;58.464565;89.255905;61.192913;42.09449;40.145668;75.22441;50.669292;61.972443;69.767715;66.25984;44.822834;68.59843;99.0;33.12992;64.31102;86.91732;92.76378;77.173225;64.31102;49.889763;79.12205;42.09449;0.0;,d12068,6e4d47,25,,No,
01 嘘の火花.mp3,E:\iTunes\iTunes Media\Music\96猫\嘘の火花 (Special Edition)\01 嘘の火花.mp3,嘘の火花,96猫,嘘の火花 (Special Edition),96猫,J-Pop,2017,223.65,94,100817,35.078743;81.46063;42.874016;46.771652;43.26378;47.55118;51.44882;40.535435;37.417324;41.704723;35.078743;35.85827;40.925198;70.15748;53.7874;71.71654;99.0;90.03543;65.480316;47.16142;47.16142;53.397636;33.12992;0.0;,ca3438,534d40,18,1,No,
02 独り言.mp3,E:\iTunes\iTunes Media\Music\96猫\嘘の火花 (Special Edition)\02 独り言.mp3,独り言,96猫,嘘の火花 (Special Edition),96猫,J-Pop,2017,242.53,90,020403,28.452757;99.0;87.69685;99.0;65.480316;61.192913;95.49213;36.24803;38.586617;42.874016;33.12992;35.078743;53.7874;47.16142;41.31496;46.38189;62.75197;66.649605;49.110237;47.55118;55.73622;82.62992;59.633858;0.0;,a03ee8,97512b,14,,No,
03 S・K・Y.mp3,E:\iTunes\iTunes Media\Music\96猫\嘘の火花 (Special Edition)\03 S・K・Y.mp3,S・K・Y,96猫,嘘の火花 (Special Edition),96猫,J-Pop,2017,321.63,75,bcb68f,56.90551;81.07086;99.0;26.503939;36.637794;48.720474;23.77559;21.047245;26.114174;31.96063;17.149609;19.877954;26.114174;24.944883;20.657482;28.062992;23.385828;26.893702;28.452757;24.165356;28.452757;51.059055;32.740158;0.0;,82fc64,891d5a,13,,No,
04 ブリキノダンス.mp3,E:\iTunes\iTunes Media\Music\96猫\嘘の火花 (Special Edition)\04 ブリキノダンス.mp3,ブリキノダンス,96猫,嘘の火花 (Special Edition),96猫,J-Pop,2017,199.71,172,06050c,28.452757;99.0;67.42913;23.385828;33.12992;28.452757;26.114174;21.826773;25.724411;32.740158;23.385828;30.011812;30.79134;43.65354;38.19685;42.484253;56.90551;60.80315;48.720474;43.65354;47.940945;52.61811;35.078743;0.0;,dd912a,342b37,27,1,No,
05 ラズベリー_モンスター.mp3,E:\iTunes\iTunes Media\Music\96猫\嘘の火花 (Special Edition)\05 ラズベリー_モンスター.mp3,ラズベリー*モンスター,96猫,嘘の火花 (Special Edition),96猫,J-Pop,2017,173.81,96,05050f,12.8622055;99.0;37.027557;42.484253;33.12992;20.267717;34.299213;35.078743;27.67323;21.047245;20.267717;21.826773;31.181103;49.110237;48.720474;61.972443;90.42519;99.0;67.81889;60.413383;61.192913;72.49606;47.16142;0.0;,ee6147,949595,21,,No,
01 Seimei No Waltz.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\01 Seimei No Waltz.m4a,Seimei No Waltz,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,203.47,183,180a1e,47.55118;96.27165;46.771652;28.062992;20.657482;27.283466;34.688976;24.165356;25.724411;26.893702;31.570868;41.704723;48.720474;72.1063;47.55118;64.70079;98.61023;99.0;93.93307;84.578735;65.09055;54.56693;24.165356;0.0;,e85c40,6b6f6a,15,1,No,
06 嘘の火花 -Instrumental-.mp3,E:\iTunes\iTunes Media\Music\96猫\嘘の火花 (Special Edition)\06 嘘の火花 -Instrumental-.mp3,嘘の火花 -Instrumental-,96猫,嘘の火花 (Special Edition),96猫,J-Pop,2017,223.67,94,100819,41.704723;99.0;45.992126;26.893702;34.688976;29.622047;31.570868;27.67323;26.114174;32.740158;30.79134;31.181103;39.755905;69.767715;56.125984;57.295277;81.85039;59.633858;55.34646;50.669292;47.16142;37.417324;29.622047;0.0;,cf6420,2f3431,19,2,No,
02 Lost!!.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\02 Lost!!.m4a,Lost!!,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,181.67,101,270caa,52.61811;99.0;54.56693;24.555119;17.539371;35.85827;30.011812;41.704723;28.452757;38.586617;31.96063;42.874016;52.228348;77.95276;59.244095;70.15748;97.8307;84.968506;83.79921;68.98819;52.61811;49.110237;19.877954;0.0;,db5731,717468,27,2,No,
03 Mizuumi.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\03 Mizuumi.m4a,Mizuumi,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,221.61,98,9b17a2,39.366142;99.0;52.228348;22.216536;22.996063;23.77559;33.12992;32.740158;28.452757;31.96063;37.027557;39.366142;54.177166;79.12205;59.244095;71.71654;81.07086;76.3937;63.921257;61.192913;51.83858;51.83858;19.877954;0.0;,d8582d,575b54,20,,No,
07 独り言 -Instrumental-.mp3,E:\iTunes\iTunes Media\Music\96猫\嘘の火花 (Special Edition)\07 独り言 -Instrumental-.mp3,独り言 -Instrumental-,96猫,嘘の火花 (Special Edition),96猫,J-Pop,2017,240.65,90,010102,26.503939;99.0;57.68504;37.027557;51.059055;44.04331;48.330708;24.944883;28.84252;34.688976;27.283466;28.062992;42.874016;40.535435;37.417324;36.637794;37.027557;44.43307;40.535435;41.704723;47.55118;49.110237;25.724411;0.0;,c8aa20,180926,12,,No,
05 Hangyaku No March.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\05 Hangyaku No March.m4a,Hangyaku No March,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2015-08-07,238.42,155,110825,57.68504;99.0;59.633858;27.67323;28.84252;33.12992;26.114174;26.893702;30.401575;35.85827;26.503939;41.704723;32.740158;65.87008;49.5;56.125984;89.64567;92.374016;96.27165;74.444885;55.34646;50.669292;29.232285;0.0;,e76938,787c77,26,1,No,
04 Mad Pierrot.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\04 Mad Pierrot.m4a,Mad Pierrot,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2015-09-09,265.38,100,09b152,51.44882;99.0;53.397636;22.216536;19.098427;36.637794;29.232285;32.740158;26.893702;33.519684;32.350395;38.97638;37.027557;54.56693;40.535435;54.177166;67.81889;74.83464;76.3937;62.362206;51.059055;48.720474;22.216536;0.0;,e67235,a8b1ab,24,3,No,
06 Lonely Boy.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\06 Lonely Boy.m4a,Lonely Boy,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,221.91,78,07050d,39.755905;99.0;40.535435;21.826773;14.811024;14.811024;27.67323;21.43701;30.79134;22.996063;31.96063;42.484253;41.31496;60.413383;51.44882;63.531494;76.00394;69.37795;72.885826;61.582676;54.177166;46.38189;22.6063;0.0;,e16732,5e5f5f,17,1,No,
07 Kaleidoscope.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\07 Kaleidoscope.m4a,Kaleidoscope,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,211.23,125,75fed1,47.55118;98.220474;50.669292;21.43701;20.657482;25.724411;26.503939;24.165356;30.401575;31.181103;29.232285;47.55118;40.535435;70.54724;54.177166;69.37795;96.27165;99.0;91.59448;75.614174;53.7874;48.330708;22.996063;0.0;,e15d35,90968b,23,,No,
08 Lady Rainy.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\08 Lady Rainy.m4a,Lady Rainy,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,236.61,93,030c09,38.19685;99.0;44.04331;26.893702;21.826773;23.77559;32.740158;26.503939;20.267717;24.165356;34.299213;33.12992;31.181103;70.54724;53.007874;55.34646;78.342514;73.66535;62.75197;53.397636;44.04331;35.078743;17.149609;0.0;,d36623,696a6a,19,1,No,
09 Dark Horse.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\09 Dark Horse.m4a,Dark Horse,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2015-09-09,201.73,96,1b0b20,64.70079;99.0;40.535435;28.84252;21.047245;30.401575;29.622047;19.48819;26.893702;29.232285;29.232285;48.330708;50.669292;84.18898;66.649605;67.81889;90.42519;86.91732;90.81496;67.03937;56.90551;58.074802;26.893702;0.0;,e45e39,626660,23,4,No,
10 Dare Mo Shiranai.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\10 Dare Mo Shiranai.m4a,Dare Mo Shiranai,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2015-09-09,187.45,86,4f322a,41.31496;99.0;34.299213;17.929134;23.77559;19.098427;20.657482;14.421261;19.48819;20.267717;19.48819;28.452757;24.165356;40.535435;31.570868;37.027557;55.34646;54.95669;51.83858;42.484253;32.350395;29.232285;13.251968;0.0;,d49221,934548,17,,Sí,"[9mm Parabellum Bulletにより「誰も知らない」の歌詞]

[Verse]
余計なものほど欲しくなるもんさ
気付いた時にはいらなくなるんだ

答えを入れれば疑問が出てくる
全自動の禅問答　終わりはないのか

[Pre-Chorus]
正しても正しても直らない
隠してるつもりでもバレてる

[Chorus]
わからなくてもかまわないのさ
おれの心をおれも知らない

[Verse]
危険なものほどいい匂いさせてさ
気付いた時にはやめられないんだ

[Pre-Chorus]
正しても正しても直らない
試しても試しても続かない
焦っても焦っても進まない
隠してるつもりでもバレてる

[Chorus]
わからなくてもかまわないのさ
おれの心をおれも知らない

わかりたくてもわからないのさ
おれの心を誰も知らない"
11 Hi Matsuri.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\11 Hi Matsuri.m4a,Hi Matsuri,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,217.34,100,8113a2,53.397636;99.0;51.83858;19.48819;20.657482;22.6063;26.114174;22.6063;18.3189;41.31496;27.67323;47.16142;46.38189;78.342514;60.02362;72.1063;90.81496;95.49213;83.40945;67.03937;56.125984;51.059055;23.385828;0.0;,e05e33,686c67,29,1,No,
12 Morning Bell.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\12 Morning Bell.m4a,Morning Bell,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,246.41,161,1d0d1f,42.484253;99.0;60.413383;22.216536;19.48819;21.047245;22.6063;26.503939;19.48819;18.708662;27.67323;33.519684;35.468506;60.02362;42.484253;52.61811;67.81889;74.444885;70.54724;64.31102;51.059055;43.26378;19.098427;0.0;,e2792e,36383b,24,-1,No,
13 Meikyuu No Living Dead.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\13 Meikyuu No Living Dead.m4a,Meikyuu No Living Dead,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,226.51,160,06050e,50.279526;99.0;43.26378;19.098427;12.08268;19.098427;13.251968;14.421261;13.641735;19.098427;18.3189;25.334646;30.011812;53.007874;46.771652;53.007874;74.055115;69.37795;77.173225;61.972443;48.330708;45.2126;19.48819;0.0;,e77f35,6b676f,21,,No,
14 Stand by Me.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\14 Stand by Me.m4a,Stand by Me,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,271.86,132,717062,56.90551;99.0;70.15748;24.555119;26.503939;30.79134;20.657482;24.555119;18.708662;23.77559;21.047245;30.79134;27.67323;45.602364;36.24803;57.295277;66.25984;45.2126;38.97638;42.484253;38.97638;37.027557;15.980316;0.0;,c99d1c,8e3440,26,-1,No,
15 Taiyou Ga Hoshii Dake.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\Waltz on Life Line\15 Taiyou Ga Hoshii Dake.m4a,Taiyou Ga Hoshii Dake,9mm Parabellum Bullet,Waltz on Life Line,9mm Parabellum Bullet,J-Rock,2016-04-27,170.02,98,971691,47.940945;95.102356;55.73622;28.84252;22.6063;24.165356;36.24803;26.503939;38.586617;32.350395;33.12992;46.771652;59.633858;85.35826;62.75197;81.07086;90.03543;99.0;83.79921;76.78346;70.93701;60.02362;26.893702;0.0;,e2533d,6c6f66,34,2,No,
01 インフェルノ.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\インフェルノ - Single\01 インフェルノ.m4a,インフェルノ,9mm Parabellum Bullet,インフェルノ - Single,9mm Parabellum Bullet,Anime,2016-07-20,94.02,98,109ac4,53.007874;99.0;50.279526;32.350395;25.334646;26.503939;26.114174;32.740158;30.401575;26.503939;34.688976;53.007874;52.61811;96.27165;68.98819;84.578735;96.27165;97.8307;81.46063;77.173225;66.25984;57.295277;21.43701;0.0;,df5337,90907d,14,,No,
01 サクリファイス.m4a,E:\iTunes\iTunes Media\Music\9mm Parabellum Bullet\サクリファイス - Single\01 サクリファイス.m4a,サクリファイス,9mm Parabellum Bullet,サクリファイス - Single,9mm Parabellum Bullet,Anime,2017-06-07,206.61,100,a31d92,54.95669;99.0;49.5;21.826773;29.622047;21.43701;27.283466;20.657482;17.149609;23.77559;21.826773;33.519684;33.519684;50.279526;44.43307;53.397636;70.15748;76.78346;70.93701;64.70079;49.5;41.704723;15.980316;0.0;,e57c32,4e4f52,20,2,No,
01 NUMBER SIX..m4a,E:\iTunes\iTunes Media\Music\A9\15TH ANNIVERSARY BEST 「風月ノ詩」\01 NUMBER SIX..m4a,NUMBER SIX.,A9,15TH ANNIVERSARY BEST 「風月ノ詩」,A9,J-Rock,2019-04-24,306.76,98,a2315a,70.54724;99.0;62.75197;37.027557;42.484253;31.181103;42.484253;30.79134;41.704723;35.078743;30.79134;32.740158;35.078743;61.192913;45.992126;50.279526;61.972443;70.54724;70.15748;61.582676;68.59843;81.85039;46.771652;0.0;,fa865d,6e706f,23,3,No,
02 -Dice-.m4a,E:\iTunes\iTunes Media\Music\A9\15TH ANNIVERSARY BEST 「風月ノ詩」\02 -Dice-.m4a,-Dice-,A9,15TH ANNIVERSARY BEST 「風月ノ詩」,A9,J-Rock,2019-04-24,219.1,123,bee29f,42.484253;99.0;40.535435;28.062992;19.098427;18.708662;24.944883;19.877954;17.149609;20.657482;23.385828;33.519684;44.822834;85.74803;52.61811;54.95669;52.228348;61.972443;52.228348;54.95669;48.330708;48.720474;22.6063;0.0;,de712c,a09faa,15,9,No,
03 虹彩.m4a,E:\iTunes\iTunes Media\Music\A9\15TH ANNIVERSARY BEST 「風月ノ詩」\03 虹彩.m4a,虹彩,A9,15TH ANNIVERSARY BEST 「風月ノ詩」,A9,J-Rock,2019-04-24,412.83,84,15180d,39.366142;99.0;75.614174;36.637794;41.31496;41.31496;39.366142;34.299213;40.535435;26.114174;37.417324;30.401575;29.622047;39.755905;28.062992;44.04331;47.16142;45.992126;44.04331;52.228348;57.68504;37.807087;22.6063;0.0;,c8ad21,072fa9,18,1,No,
04 RAINBOWS.m4a,E:\iTunes\iTunes Media\Music\A9\15TH ANNIVERSARY BEST 「風月ノ詩」\04 RAINBOWS.m4a,RAINBOWS,A9,15TH ANNIVERSARY BEST 「風月ノ詩」,A9,J-Rock,2019-04-24,283.77,136,867e8a,41.704723;99.0;35.85827;23.77559;16.370079;16.370079;20.267717;21.43701;15.590553;22.216536;24.165356;33.519684;35.85827;54.177166;38.97638;47.940945;42.874016;51.059055;52.61811;54.177166;56.125984;61.192913;32.740158;0.0;,f08c45,5c4f5c,26,3,No,
05 CROSS GAME.m4a,E:\iTunes\iTunes Media\Music\A9\15TH ANNIVERSARY BEST 「風月ノ詩」\05 CROSS GAME.m4a,CROSS GAME,A9,15TH ANNIVERSARY BEST 「風月ノ詩」,A9,J-Rock,2019-04-24,218.47,93,000000,49.889763;99.0;51.059055;30.401575;21.047245;34.688976;38.586617;26.503939;28.84252;31.96063;39.366142;32.350395;51.83858;59.633858;48.720474;51.059055;62.75197;67.81889;58.464565;54.177166;52.228348;51.83858;28.062992;0.0;,e26e30,6c706a,25,1,No,
06 the beautiful name.m4a,E:\iTunes\iTunes Media\Music\A9\15TH ANNIVERSARY BEST 「風月ノ詩」\06 the beautiful name.m4a,the beautiful name,A9,15TH ANNIVERSARY BEST 「風月ノ詩」,A9,J-Rock,2019-04-24,341.08,135,725966,48.720474;99.0;44.04331;31.96063;31.181103;26.503939;28.452757;25.334646;19.098427;35.468506;24.555119;17.149609;27.283466;41.704723;28.452757;27.67323;31.96063;38.97638;35.468506;26.893702;24.555119;27.283466;15.980316;0.0;,a8bd17,1f1120,17,,No,
07 Waterfall.m4a,E:\iTunes\iTunes Media\Music\A9\15TH ANNIVERSARY BEST 「風月ノ詩」\07 Waterfall.m4a,Waterfall,A9,15TH ANNIVERSARY BEST 「風月ノ詩」,A9,J-Rock,2019-04-24,364.76,112,1ad178,32.350395;99.0;27.67323;18.708662;17.149609;14.421261;12.472443;12.8622055;12.8622055;10.913387;12.08268;10.913387;13.251968;15.590553;10.913387;15.590553;19.48819;19.877954;22.216536;27.67323;28.84252;28.452757;17.539371;0.0;,b5e141,7b3437,27,1,No,
08 Le Grand Bleu.m4a,E:\iTunes\iTunes Media\Music\A9\15TH ANNIVERSARY BEST 「風月ノ詩」\08 Le Grand Bleu.m4a,Le Grand Bleu,A9,15TH ANNIVERSARY BEST 「風月ノ詩」,A9,J-Rock,2019-04-24,255.02,101,8317ae,70.93701;99.0;94.7126;46.38189;39.755905;45.992126;43.65354;49.5;35.078743;44.04331;33.12992;33.519684;33.90945;62.362206;33.519684;38.97638;43.26378;54.56693;55.73622;61.192913;60.413383;65.480316;37.027557;0.0;,e9b954,585547,20,1,No,
