Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Clean,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Composer,Sort Name,Track Count,Track ID,Track Number,Track Type,Work,Year
blindfolded - Single,Against The Current,Rock,blindfolded,3:19,RAW,01 blindfolded.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,142,256,,Se encuentra en spotify,,"Chrissy Costanza, Kristoffer Eriksson, Cassandra Ströberg, Dan Gow, Will Ferri & Salvatore Sam Guiana",2024-09-26 20:47:08,2025-10-17 06:58:02,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/blindfolded%20-%20Single/01%20blindfolded.mp3,,14326,F24CFC7F5C967491,3,3843135042,2025-10-12 22:30:42,,100,,,44100,6484077,,,,,,,,1,4347,1,File,,2022
fever,Against The Current,Alternativa,that won't save us,3:21,RAW,01 that won't save us.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,78,256,,Se encuentra en spotify,,"Chrissy Costanza, Will Ferri, Dan Gow & Matt Squire",2024-09-26 20:47:08,2025-10-17 06:58:02,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/fever/01%20that%20won't%20save%20us.mp3,,7592,967CDCD199FF2446,3,3845702407,2025-11-11 16:40:07,,100,,,44100,6556003,,,,,,,,7,4349,1,File,,2020
fever,Against The Current,Alternativa,jump,2:40,RAW,04 jump.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,85,256,,Se encuentra en spotify,,Christina Costanza,2024-09-26 20:47:09,2025-10-17 06:58:02,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/fever/04%20jump.mp3,,7236,5E2B17CE2B821D44,4,3842204560,2025-10-02 04:02:40,,100,,,44100,5256136,,,,,,,,7,4353,4,File,,2021
fever,Against The Current,Alternativa,lullaby,3:38,RAW,07 lullaby.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,108,256,,Se encuentra en spotify,,"Christina Costanza, Jordan Fish & Oli Sykes",2024-09-26 20:47:09,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/fever/07%20lullaby.mp3,,5728,CCBD9CC5C989569E,4,3845706103,2025-11-11 17:41:43,,100,,,44100,7109368,,,,,,,,7,4359,7,File,,2021
Gravity - EP,Against The Current,Alternativa,Gravity,3:42,RAW,01 Gravity.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,,140,256,,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:10,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/01%20Gravity.mp3,,6696,4326044C24EFF692,5,3843573555,2025-10-18 00:19:15,,100,,,44100,7118354,,,,,,,,6,4373,1,File,,2015
Gravity - EP,Against The Current,Alternativa,Paralyzed,3:16,RAW,04 Paralyzed.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,132,256,,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:10,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/04%20Paralyzed.mp3,,10355,A7737DEA6B18D794,4,3845445753,2025-11-08 17:22:33,,100,,,44100,6317085,,,,,,,,6,4377,4,File,,2015
Gravity - EP,Against The Current,Alternativa,Fireproof,3:08,RAW,05 Fireproof.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,85,256,,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:11,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/05%20Fireproof.mp3,,12680,70E4E7AC6F09E734,6,3847113951,2025-11-28 00:45:51,,100,,,44100,6061294,,,,,,,,6,4379,5,File,,2015
Gravity - EP,Against The Current,Alternativa,Brighter,3:34,RAW,06 Brighter.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,79,256,,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:11,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/06%20Brighter.mp3,,6251,AF4A01C21F0413F1,4,3834155767,2025-07-01 00:16:07,,100,,,44100,6893032,,,,,,,,6,4381,6,File,,2015
In Our Bones,Against The Current,Alternativa,Running with the Wild Things,3:42,RAW,01 Running with the Wild Things.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,160,256,,Se encuentra en spotify,,Audra Mae,2024-09-26 20:47:11,2025-10-17 06:58:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/01%20Running%20with%20the%20Wild%20Things.mp3,,13140,FC76FA08D4059720,2,3823261431,2025-02-24 23:03:51,,100,,,44100,7197644,,,,,,,,12,4383,1,File,,2016
In Our Bones,Against The Current,Alternativa,Forget Me Now,3:01,RAW,02 Forget Me Now.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,97,256,,Se encuentra en spotify,,Steve Aiello/Chrissy Costanza/Will Ferri/Dan Gow/Nick Long/Tom Schleiter,2024-09-26 20:47:11,2025-10-17 06:58:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/02%20Forget%20Me%20Now.mp3,,12321,5316B5DE837F82B9,6,3843150083,2025-10-13 02:41:23,,100,,,44100,5877714,,,,,,,,12,4385,2,File,,2016
In Our Bones,Against The Current,Alternativa,Chasing Ghosts,3:29,RAW,03 Chasing Ghosts.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,104,256,,Se encuentra en spotify,,Chrissy Costanza/Will Ferri/Dan Gow/Nick Long/Tom Schleiter,2024-09-26 20:47:11,2025-10-17 06:58:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/03%20Chasing%20Ghosts.mp3,,7816,A0C92CED8D1F967C,2,3835962293,2025-07-21 22:04:53,,100,,,44100,6773820,,,,,,,,12,4387,3,File,,2016
In Our Bones,Against The Current,Alternativa,One More Weekend,3:05,RAW,04 One More Weekend.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,97,256,,Se encuentra en spotify,,Nolan Sipe,2024-09-26 20:47:11,2025-10-17 06:58:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/04%20One%20More%20Weekend.mp3,,11867,90D65B1BB8F43472,5,3845704288,2025-11-11 17:11:28,,100,,,44100,5989730,,,,,,,,12,4389,4,File,,2016
In Our Bones,Against The Current,Alternativa,Young & Relentless,3:22,RAW,06 Young & Relentless.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,134,256,,Se encuentra en spotify,,Andrew Jackson (21),2024-09-26 20:47:12,2025-10-17 06:57:59,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/06%20Young%20&%20Relentless.mp3,,11777,3A3CFA80DDC306DD,3,3841306449,2025-09-21 18:34:09,,100,,,44100,6541438,,,,,,,,12,4393,6,File,,2016
In Our Bones,Against The Current,Alternativa,Runaway,3:32,RAW,07 Runaway.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,115,256,,Se encuentra en spotify,,Chrissy Costanza/Will Ferri/Dan Gow/Nick Long/Tom Schleiter,2024-09-26 20:47:12,2025-10-17 06:57:59,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/07%20Runaway.mp3,,13437,B1D6430CD87DBFA6,5,3838842552,2025-08-24 06:09:12,,100,,,44100,6854061,,,,,,,,12,4395,7,File,,2016
In Our Bones,Against The Current,Alternativa,Wasteland,3:25,RAW,09 Wasteland.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,99,256,,Se encuentra en spotify,,"Andrew Goldstein, Nolan Sipe",2024-09-26 20:47:12,2025-10-17 06:57:59,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/09%20Wasteland.mp3,,10059,DD2EAB1CC652397B,3,3834830351,2025-07-08 19:39:11,,100,,,44100,6645919,,,,,,,,12,4399,9,File,,2016
In Our Bones,Against The Current,Alternativa,Blood Like Gasoline,3:18,RAW,10 Blood Like Gasoline.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,90,256,,Se encuentra en spotify,,Drew Pearson,2024-09-26 20:47:12,2025-10-17 06:57:59,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/10%20Blood%20Like%20Gasoline.mp3,,12246,0A1F172992BE44F1,2,3837339091,2025-08-06 20:31:31,,100,,,44100,6406021,,,,,,,,12,4401,10,File,,2016
Infinity - EP,Against The Current,Alternativa,Infinity,3:05,RAW,01 Infinity.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,,125,256,,Se encuentra en spotify,,Against The Current,2024-09-26 20:47:14,2025-10-17 06:57:59,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Infinity%20-%20EP/01%20Infinity.mp3,,13762,692E9130BC15B8A1,4,3827295301,2025-04-12 14:35:01,,100,,,44100,5943054,,,,,,,,5,4417,1,File,,2014
Infinity - EP,Against The Current,Alternativa,Another You (Another Way),3:23,RAW,04 Another You (Another Way).mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,135,256,,Se encuentra en spotify,,"Dan Gow, Will Ferri & Chrissy Costanza",2024-09-26 20:47:14,2025-10-17 06:57:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Infinity%20-%20EP/04%20Another%20You%20(Another%20Way).mp3,,13666,501FFF842A07DE56,3,3835873146,2025-07-20 21:19:06,,100,,,44100,6621259,,,,,,,,5,4423,4,File,,2014
Past Lives,Against The Current,Alternativa,Strangers Again,3:42,RAW,01 Strangers Again.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,90,256,,Se encuentra en spotify,,"Andrew Goldstein, Christina Costanza, Daniel Gow, Nick Long & William Ferri",2024-09-26 20:47:15,2025-10-17 06:57:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Past%20Lives/01%20Strangers%20Again.mp3,,5607,819AE41489A9CF45,6,3840220993,2025-09-09 05:03:13,,100,,,44100,7285795,,,,,,,,11,4427,1,File,,2018
Past Lives,Against The Current,Alternativa,The Fuss,2:50,RAW,02 The Fuss.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,156,256,,Se encuentra en spotify,,"Christina Costanza, Daniel Gow, Thomas Schleiter, Trent Dabbs & William Ferri",2024-09-26 20:47:15,2025-10-17 06:57:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Past%20Lives/02%20The%20Fuss.mp3,,4661,93F38F433701EB93,4,3842206872,2025-10-02 04:41:12,,100,,,44100,5611444,,,,,,,Fuss,11,4429,2,File,,2018
Past Lives,Against The Current,Alternativa,Voices,3:24,RAW,05 Voices.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,105,256,,Se encuentra en spotify,,"Andrew Goldstein, Christina Costanza, Daniel Gow, Jesse Saint John Geller, Sarah Hudson & William Ferri",2024-09-26 20:47:15,2025-10-17 06:57:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Past%20Lives/05%20Voices.mp3,,6868,00F3DC12F13A6040,2,3838965238,2025-08-25 16:13:58,,100,,,44100,6702315,,,,,,,,11,4435,5,File,,2018
Past Lives,Against The Current,Alternativa,Scream,3:01,RAW,06 Scream.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,103,256,,Se encuentra en spotify,,"Alexandra Hughes, Christina Costanza, Daniel Gow, Jesse Saint John Geller, Leroy Clampitt, Thomas Schleiter & William Ferri",2024-09-26 20:47:15,2025-10-17 06:57:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Past%20Lives/06%20Scream.mp3,,3695,08498F8B0A904657,5,3843646834,2025-10-18 20:40:34,,100,,,44100,5946645,,,,,,,,11,4437,6,File,,2018
Past Lives,Against The Current,Alternativa,P.A.T.T.,2:33,RAW,08 P.A.T.T..mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,116,256,,Se encuentra en spotify,,"Andrew Goldstein, Christina Costanza, Daniel Gow, Jessica Karpov, Nolan Sipes & William Ferri",2024-09-26 20:47:16,2025-10-17 06:57:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Past%20Lives/08%20P.A.T.T..mp3,,6431,4B03437C3E9E3B3F,8,3845974087,2025-11-14 20:08:07,,100,,,44100,5063917,,,Past Lives,,Against The Current,,P.A.T.T.,11,4441,8,File,,2018
Past Lives,Against The Current,Alternativa,Come Alive,3:24,RAW,10 Come Alive.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,90,256,,Se encuentra en spotify,,"Christina Costanza, Daniel Gow, Maika Maile, Michael Ferri & William Ferri",2024-09-26 20:47:16,2025-10-17 06:57:57,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Past%20Lives/10%20Come%20Alive.mp3,,6640,C88229AA54F6444F,7,3847117114,2025-11-28 01:38:34,,100,,,44100,6701484,,,,,,,,11,4445,10,File,,2018
Past Lives,Against The Current,Alternativa,Sweet Surrender,3:32,RAW,11 Sweet Surrender.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,104,256,,Se encuentra en spotify,,"Allison Margaret Veltz, Christina Costanza, Daniel Gow, Thomas Schleiter & William Ferri",2024-09-26 20:47:16,2025-10-17 06:57:57,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Past%20Lives/11%20Sweet%20Surrender.mp3,,5473,24E42C5AE6924432,4,3844692419,2025-10-31 00:06:59,,100,,,44100,6955608,,,,,,,,11,4447,11,File,,2018
silent stranger - Single,Against The Current,Rock,silent stranger,3:29,RAW,01 silent stranger.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,76,256,,Se encuentra en spotify,,"Chrissy Costanza, Jon Lundin, Dan Gow & Will Ferri",2024-09-26 20:47:16,2025-10-17 06:57:57,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/silent%20stranger%20-%20Single/01%20silent%20stranger.mp3,,11228,6210F8F281F9650C,6,3847184409,2025-11-28 20:20:09,,100,,,44100,6949763,,,,,,,,1,4449,1,File,,2023
weapon - Single,Against The Current,Alternativa,weapon,3:17,RAW,01 weapon.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,90,256,,Se encuentra en spotify,,"Chrissy Costanza, Dan Gow, Matt Squire & Will Ferri",2024-09-26 20:47:17,2025-10-17 06:57:57,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/weapon%20-%20Single/01%20weapon.mp3,,8528,F07246AB84990709,6,3844165459,2025-10-24 20:44:19,,100,,,44100,6377845,,,,,,,,1,4455,1,File,,2021
Wildfire - Single,Against The Current,Alternativa,Wildfire,2:46,RAW,01 Wildfire.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,121,256,,Se encuentra en spotify,,Alex Seaver & Chrissy Costanza,2024-09-26 20:47:17,2025-10-17 06:57:56,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Wildfire%20-%20Single/01%20Wildfire.mp3,,6575,4584A3AB5783E950,3,3843572484,2025-10-18 00:01:24,,100,,,44100,5403717,,,Wildfire - Single,,Against The Current,,Wildfire,2,4457,1,File,,2022
Gravity - EP,Against The Current & TAKA,Alternativa,Dreaming Alone,2:56,RAW,03 Dreaming Alone.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,145,256,,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:17,2025-10-17 06:57:56,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/03%20Dreaming%20Alone.mp3,,3898,E717040508E017BF,2,3825358637,2025-03-21 05:37:17,,100,,,44100,5676799,1,2025-08-24 07:08:35,,,,,,6,4463,3,File,,2015
After Dark,Aimer,J-Pop,ポラリス,6:05,RAW,02 ポラリス.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Aimer,100,True,1,74,256,,Se encuentra en spotify,,aimerrythm/òà«å,2024-09-26 20:47:18,2025-10-17 06:57:54,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/After%20Dark/02%20%E3%83%9D%E3%83%A9%E3%83%AA%E3%82%B9.mp3,,5683,6770075157687DB5,3,3835608107,2025-07-17 19:41:47,,100,,,44100,11729939,,,,,,,,12,4469,2,File,,2013
After Dark,Aimer,J-Pop,words,5:54,RAW,03 words.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Aimer,100,True,1,70,256,,Se encuentra en spotify,,阿部真央,2024-09-26 20:47:18,2025-10-17 06:57:54,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/After%20Dark/03%20words.mp3,,3882,1A5F9020EE5B0E71,5,3847192318,2025-11-28 22:31:58,,100,,,44100,11390550,,,,,,,,12,4471,3,File,,2013
After Dark,Aimer,J-Pop,After Rain,4:52,RAW,05 After Rain.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Aimer,100,True,1,120,256,,Se encuentra en spotify,,"Kenji Tamai, KOMODA",2024-09-26 20:47:19,2025-10-17 06:57:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/After%20Dark/05%20After%20Rain.mp3,,9307,D531778DE6F2607B,5,3845978603,2025-11-14 21:23:23,,100,,,44100,9415280,,,,,,,,12,4475,5,File,,2013
